ticker,date,open,high,low,close,volume,avg_sentiment,tweet_count,daily_return,volatility_7d,ma_7,ma_30,price_range
AAPL,2019-12-31,72.4825,73.42,72.38,73.4125,100805600,0.0,0,,,,,0.014166524774391369
AAPL,2020-01-02,74.06,75.15,73.7975,75.0875,135480400,0.3419,8,0.02281627788183216,,,,0.018012318961212002
AAPL,2020-01-03,74.2875,75.145,74.125,74.3575,146322800,0.0085,6,-0.009721991010487763,,,,0.01371751336448907
AAPL,2020-01-06,73.4475,74.99,73.1875,74.95,118387200,0.7793,2,0.007968261439666557,,,,0.024049366244162707
AAPL,2020-01-07,74.96,75.225,74.37,74.5975,108872000,0.0229,3,-0.0047031354236157785,,,,0.011461510104225876
AAPL,2020-01-08,74.29,76.11,74.29,75.7975,132079200,-0.0972,6,0.016086329970843583,,,,0.02401134602064703
AAPL,2020-01-09,76.81,77.6075,76.55,77.4075,170108400,0.1531,4,0.02124080609518786,,75.08714285714287,,0.013661466912120978
AAPL,2020-01-10,77.65,78.1675,77.0625,77.5825,140644800,0.4435,4,0.0022607628459774265,0.012705693196058368,75.68285714285715,,0.014242902716463172
AAPL,2020-01-13,77.91,79.2675,77.7875,79.24,121532000,0.0237,4,0.021364354074694614,0.012432274500331514,76.27607142857143,,0.01867743563856643
AAPL,2020-01-14,79.175,79.3925,78.0425,78.17,161954400,0.4973,4,-0.013503281171125647,0.013366766637526534,76.82071428571429,,0.01727005244978885
AAPL,2020-01-15,77.9625,78.875,77.3875,77.835,121923600,0.2714,7,-0.004285531533836595,0.014041597821982154,77.23285714285714,,0.019110939808569375
AAPL,2020-01-16,78.3975,78.925,78.0225,78.81,108829200,-0.1132,2,0.012526498361919547,0.013453954319573995,77.83464285714285,,0.011451592437507973
AAPL,2020-01-17,79.0675,79.685,78.75,79.6825,137816400,0.2122,3,0.011070930085014696,0.013077062799971173,78.38964285714285,,0.011734069588680103
AAPL,2020-01-21,79.2975,79.755,79.0,79.1425,110843200,0.0,1,-0.006776895805227112,0.012344518675770272,78.6375,,0.009539754240768177
AAPL,2020-01-22,79.645,79.9975,79.3275,79.425,101832400,0.0,0,0.0035695106927378095,0.012337182907470209,78.90071428571427,,0.008435631098520639
AAPL,2020-01-23,79.48,79.89,78.9125,79.8075,104472000,0.0833,3,0.004815864022662986,0.009610621423103389,78.9817857142857,,0.012248222284873054
AAPL,2020-01-24,80.0625,80.8325,79.38,79.5775,146537600,0.0,1,-0.0028819346552643177,0.007544607664240632,79.18285714285715,,0.01825264679086426
AAPL,2020-01-27,77.515,77.9425,76.22,77.2375,161940000,0.1116,5,-0.02940529672332004,0.014301237438796292,79.0975,,0.022301343259427047
AAPL,2020-01-28,78.15,79.6,78.0475,79.4225,162234000,0.2073,13,0.028289367211522976,0.017639558058664413,79.18499999999999,,0.019547357486858194
AAPL,2020-01-29,81.1125,81.9625,80.345,81.085,216229200,0.2539,7,0.02093235544083849,0.01890400682776122,79.38535714285715,,0.01994820250354575
AAPL,2020-01-30,80.135,81.0225,79.6875,80.9675,126743200,-0.3352,2,-0.0014490966269962158,0.018565472931599776,79.64607142857143,,0.016488097075987203
AAPL,2020-01-31,80.2325,80.67,77.0725,77.3775,199588400,0.3179,6,-0.044338777904714854,0.025884697176567543,79.35357142857143,,0.046492843526865
AAPL,2020-02-03,76.075,78.3725,75.555,77.165,173788400,0.1137,3,-0.0027462763723303807,0.025639649015309,78.97607142857143,,0.03651266766020858
AAPL,2020-02-04,78.8275,79.91,78.4075,79.7125,136616400,0.0,1,0.03301367200155503,0.029342683657723093,78.99535714285715,,0.018848988552610916
AAPL,2020-02-05,80.88,81.19,79.7375,80.3625,118826800,0.4164,2,0.00815430453191146,0.02620479155836881,79.44178571428571,,0.018074350598848973
AAPL,2020-02-06,80.6425,81.305,80.065,81.3025,105425600,-0.0725,2,0.01169699797791246,0.02454849679403068,79.71035714285713,,0.015251683527566916
AAPL,2020-02-07,80.5925,80.85,79.5,80.0075,117684000,0.0809,3,-0.015928169490483146,0.02416359743437037,79.55642857142857,,0.016873418117051456
AAPL,2020-02-10,78.545,80.3875,78.4625,80.3875,109348800,-0.2986,3,0.00474955472924421,0.024285748208193018,79.47357142857143,,0.023946509096563484
AAPL,2020-02-11,80.9,80.975,79.6775,79.9025,94323200,-0.5374,1,-0.0060332763178354565,0.015592350157591818,79.83428571428571,,0.016238540721504324
AAPL,2020-02-12,80.3675,81.805,80.3675,81.8,113730400,0.3878,3,0.023747692500234674,0.016662175535407005,80.49642857142858,78.38708333333334,0.017573349633251835
AAPL,2020-02-13,81.0475,81.555,80.8375,81.2175,94747600,0.0,0,-0.00712102689486549,0.01340157753876662,80.71142857142857,78.64725,0.008834302951950024
AAPL,2020-02-14,81.185,81.495,80.7125,81.2375,80113600,-0.144,2,0.00024625234709252375,0.013202135904693695,80.83642857142857,78.85225,0.009632251115556226
AAPL,2020-02-18,78.84,79.9375,78.6525,79.75,152531200,-0.195,7,-0.01831050930912448,0.014218394308902161,80.61464285714285,79.032,0.01611285266457676
AAPL,2020-02-19,80.0,81.1425,80.0,80.905,93984000,0.4727,3,0.014482758620689706,0.014135915530140786,80.74285714285715,79.23049999999999,0.014121500525307439
AAPL,2020-02-20,80.6575,81.1625,79.5525,80.075,100566000,0.343,3,-0.010258945677028564,0.01471896625887813,80.69821428571429,79.41308333333333,0.020106150483921316
AAPL,2020-02-21,79.655,80.1125,77.625,78.2625,129554000,0.0163,7,-0.022635029659693995,0.016936430049953852,80.46392857142857,79.49525,0.03178406005430438
AAPL,2020-02-24,74.315,76.045,72.3075,74.545,222195200,-0.1638,6,-0.04750039929723693,0.01951133193037373,79.42750000000001,79.39983333333333,0.05013750083841971
AAPL,2020-02-25,75.2375,75.6325,71.5325,72.02,230673600,-0.0218,6,-0.03387215775705954,0.02074554010780741,78.11357142857142,79.21441666666666,0.05692863093585108
AAPL,2020-02-26,71.6325,74.47,71.625,73.1625,198054800,-0.0187,6,0.015863648986392587,0.023540275050157326,76.96000000000001,79.01183333333333,0.038886041346318116
AAPL,2020-02-27,70.275,71.5,68.24,68.38,320605600,0.34,1,-0.06536818725439941,0.03047334885113981,75.33571428571429,78.6855,0.04767475870137475
AAPL,2020-02-28,64.315,69.6025,64.0925,68.34,426510000,0.1227,7,-0.0005849663644339476,0.027949991912603105,73.54071428571429,78.369,0.08062628036289149
AAPL,2020-03-02,70.57,75.36,69.43,74.7025,341397200,0.2454,27,0.09310067310506298,0.052562945359344054,72.77321428571427,78.23208333333334,0.07938154680231575
AAPL,2020-03-03,75.9175,76.0,71.45,72.33,319475600,0.08,12,-0.031759311937351486,0.05307633118128365,71.92571428571428,77.98700000000001,0.06290612470620763
AAPL,2020-03-04,74.11,75.85,73.2825,75.685,219178400,0.1693,8,0.046384626019632336,0.053881916707965535,72.08857142857143,77.87174999999999,0.03392349871176581
AAPL,2020-03-05,73.88,74.8875,72.8525,73.23,187572800,0.0322,9,-0.032437074717579395,0.053718972886406986,72.26142857142857,77.66525,0.02778915744913282
AAPL,2020-03-06,70.5,72.705,70.3075,72.2575,226176800,0.1505,7,-0.013280076471391622,0.05373944326719981,72.13214285714285,77.41358333333334,0.03317994671833365
AAPL,2020-03-09,65.9375,69.5225,65.75,66.5425,286744800,0.1503,7,-0.0790921357644534,0.05666827412765759,71.86964285714286,76.97908333333334,0.056693090881767196
AAPL,2020-03-10,69.285,71.61,67.3425,71.335,285290000,-0.0933,7,0.07202164030506797,0.06333502868579595,72.2975,76.78233333333334,0.05982336861288286
AAPL,2020-03-11,69.3475,70.305,67.965,68.8575,255598800,0.0062,5,-0.03473049695100572,0.052087345901721066,71.4625,76.43016666666666,0.033983226228079776
AAPL,2020-03-12,63.985,67.5,62.0,62.0575,418474000,0.1267,7,-0.0987546745089497,0.061894943353964865,69.995,75.79591666666667,0.08862748257664263
AAPL,2020-03-13,66.2225,69.98,63.2375,69.4925,370732000,-0.1074,7,0.11980824235587972,0.07890166647269287,69.11035714285715,75.41341666666668,0.09702485879771207
AAPL,2020-03-16,60.4875,64.77,60.0,60.5525,322423600,-0.1234,14,-0.12864697629240573,0.09101407321030967,67.29928571428572,74.85258333333334,0.07877461706783363
AAPL,2020-03-17,61.8775,64.4025,59.6,63.215,324056000,0.1524,10,0.04397010858346073,0.09456131271684372,66.00750000000001,74.38758333333334,0.07597089298426009
AAPL,2020-03-18,59.9425,62.5,59.28,61.6675,300233600,0.2093,9,-0.02447994937910314,0.09056642963198461,65.31107142857142,73.78608333333334,0.052215510601208076
AAPL,2020-03-19,61.8475,63.21,60.6525,61.195,271857200,0.1426,5,-0.0076620586208293595,0.08368727668634258,63.862500000000004,73.14716666666666,0.04179263011683957
AAPL,2020-03-20,61.795,62.9575,57.0,57.31,401693200,-0.1021,5,-0.063485578887164,0.08529881942827798,62.212857142857146,72.34741666666667,0.10395218984470429
AAPL,2020-03-23,57.02,57.125,53.1525,56.0925,336752800,0.1993,4,-0.021244110975397024,0.07855214693701337,61.36071428571428,71.55025,0.07082051967731866
AAPL,2020-03-24,59.09,61.9225,58.575,61.72,287531200,0.2432,6,0.10032535543967547,0.07328547366897983,60.25035714285715,70.92800000000001,0.05423687621516521
AAPL,2020-03-25,62.6875,64.5625,61.075,61.38,303602000,0.1855,4,-0.00550874918988975,0.05338537571662115,60.368571428571435,70.31058333333334,0.05681818181818177
AAPL,2020-03-26,61.63,64.67,61.59,64.61,252087200,0.1654,8,0.05262300423590749,0.054575520385688976,60.56785714285714,69.73758333333333,0.04767063921993497
AAPL,2020-03-27,63.1875,63.9675,61.7625,61.935,204216800,-0.1551,6,-0.04140225971211886,0.05641023653292635,60.60607142857142,69.09483333333334,0.03560184063937997
AAPL,2020-03-30,62.685,63.88,62.35,63.7025,167976400,-0.0059,6,0.028537983369661735,0.05703808265724586,60.964285714285715,68.51033333333334,0.024017895686982475
AAPL,2020-03-31,63.9,65.6225,63.0,63.5725,197002000,0.0395,3,-0.002040736234841689,0.048441333588064746,61.85892857142857,67.97108333333334,0.041252113728420345
AAPL,2020-04-01,61.625,62.18,59.7825,60.2275,176218400,-0.2672,3,-0.052617090723190096,0.05362460434164962,62.44964285714286,67.28183333333332,0.03980739695321906
AAPL,2020-04-02,60.085,61.2875,59.225,61.2325,165934000,-0.0797,4,0.01668672948403982,0.03736594299268331,62.379999999999995,66.65375,0.033683093128649
AAPL,2020-04-03,60.7,61.425,59.7425,60.3525,129880000,0.0,1,-0.014371453068223627,0.03771125124920774,62.23321428571428,66.05675000000001,0.027877884097593265
AAPL,2020-04-06,62.725,65.7775,62.345,65.6175,201820400,0.4199,1,0.08723747980613905,0.047129810567629105,62.377142857142864,65.75916666666667,0.05231074027507912
AAPL,2020-04-07,67.7,67.925,64.75,64.8575,202887200,-0.2097,5,-0.011582276069646125,0.043651235480729494,62.79464285714287,65.52041666666666,0.04895347492579882
AAPL,2020-04-08,65.685,66.8425,65.3075,66.5175,168895200,0.0073,3,0.02559457271711052,0.04342736312287144,63.19678571428572,65.29891666666667,0.023076633968504477
AAPL,2020-04-09,67.175,67.5175,66.175,66.9975,161834800,0.2463,2,0.007216146126959089,0.0432472175892197,63.68607142857143,65.25283333333333,0.020038061121683663
AAPL,2020-04-13,67.0775,68.425,66.4575,68.3125,131022800,0.2621,2,0.019627598044703154,0.033893009728137594,64.84107142857144,65.25191666666667,0.028801463860933227
AAPL,2020-04-14,70.0,72.0625,69.5125,71.7625,194994800,0.2133,2,0.05050320219579141,0.03591932664303103,66.34535714285714,65.15391666666667,0.035533879115136696
AAPL,2020-04-15,70.6,71.5825,70.1575,71.1075,131154400,0.5423,1,-0.009127329733495948,0.03504275196366613,67.88178571428571,65.11316666666667,0.020040080160320602
AAPL,2020-04-16,71.845,72.05,70.5875,71.6725,157125200,0.0954,4,0.007945715993390223,0.021454788314335407,68.74678571428572,64.97941666666667,0.020405315846384477
AAPL,2020-04-17,71.1725,71.7375,69.215,70.7,215250000,0.3063,4,-0.013568663015800952,0.021841942845664306,69.58142857142857,64.89508333333333,0.03567892503536059
AAPL,2020-04-20,69.4875,70.42,69.2125,69.2325,130015200,0.0,1,-0.020756718528995743,0.02414952815422042,69.96928571428572,64.79424999999999,0.017441230635900713
AAPL,2020-04-21,69.07,69.3125,66.3575,67.0925,180991600,-0.1085,5,-0.030910338352652333,0.027840880040667093,69.98285714285714,64.81258333333334,0.044043671051160686
AAPL,2020-04-22,68.4025,69.475,68.05,69.025,116862400,-0.2218,1,0.02880351753176602,0.029078410802375793,70.08464285714287,64.73558333333334,0.020644693951466817
AAPL,2020-04-23,68.9675,70.4375,68.7175,68.7575,124814400,0.0,0,-0.0038754074610649614,0.019645164799252553,69.65535714285714,64.73225,0.02501545285968802
AAPL,2020-04-24,69.3,70.7525,69.25,70.7425,126161200,0.17,2,0.028869577864233165,0.023487248337124015,69.60321428571429,65.02175000000001,0.021239000600770365
AAPL,2020-04-27,70.45,71.135,69.9875,70.7925,117087600,0.0,0,0.0007067887055165478,0.02321120817584562,69.47749999999999,65.06508333333333,0.016209344210191868
AAPL,2020-04-28,71.27,71.4575,69.55,69.645,112004800,0.0,0,-0.016209344210191823,0.023459549052513778,69.32678571428572,65.36816666666667,0.02738890085433267
AAPL,2020-04-29,71.1825,72.4175,70.9725,71.9325,137280800,0.0,1,0.03284514322636234,0.024981332815351538,69.7125,65.65875,0.020088277204323598
AAPL,2020-04-30,72.49,73.6325,72.0875,73.45,183064000,-0.098,5,0.021096166545024886,0.019364237234261943,70.62071428571429,66.0515,0.021034717494894314
AAPL,2020-05-01,71.5625,74.75,71.4625,72.2675,240616800,0.286,2,-0.0160993873383255,0.02071508869266401,71.08392857142857,66.42058333333334,0.0454907115923478
AAPL,2020-05-04,72.2925,73.4225,71.58,73.29,133568000,0.0,0,0.014148822084616208,0.02028830564505187,71.73142857142857,66.95325,0.025139855369081743
AAPL,2020-05-05,73.765,75.25,73.615,74.39,147751200,0.0,1,0.015008868877063541,0.018676589995417586,72.2525,67.56316666666666,0.021978760586100352
AAPL,2020-05-06,75.115,75.81,74.7175,75.1575,142333600,0.0,1,0.010317246941793146,0.018458235525148966,72.87607142857144,68.01108333333333,0.014536140771047482
AAPL,2020-05-07,75.805,76.2925,75.4925,75.935,115215200,0.1027,1,0.010344942287862091,0.014855761341707345,73.77464285714287,68.49625,0.01053532626588526
AAPL,2020-05-08,76.41,77.5875,76.0725,77.5325,133838400,0.1435,2,0.02103772963718975,0.01267385275947933,74.57464285714286,68.92699999999999,0.019540192822364823
AAPL,2020-05-11,77.025,79.2625,76.81,78.7525,145946400,0.0,1,0.015735336794247656,0.012099517248874942,75.33214285714287,69.48758333333333,0.031141868512110735
AAPL,2020-05-12,79.4575,79.9225,77.7275,77.8525,162301200,0.1436,4,-0.01142820862829741,0.010429159171277656,76.13000000000001,69.95925000000001,0.028194341864423017
AAPL,2020-05-13,78.0375,78.9875,75.8025,76.9125,200622400,0.1256,7,-0.012074114511415934,0.013311141592178978,76.64750000000001,70.40391666666666,0.041410693970420964
AAPL,2020-05-14,76.1275,77.4475,75.3825,77.385,158929200,0.1594,5,0.006143344709897747,0.012834427568673583,77.07535714285714,70.97583333333334,0.026684758028041763
AAPL,2020-05-15,75.0875,76.975,75.0525,76.9275,166348400,-0.0172,3,-0.005911998449312006,0.013323195276901833,77.32821428571428,71.499,0.024991063013876696
