ticker,date,actual,t1,t3,t5
TSLA,2020-11-02,133.50333,126.31106916275621,126.31106916275621,126.31106916275621
TSLA,2020-11-03,141.3,126.19814980461095,126.19814980461095,126.19814980461095
TSLA,2020-11-04,140.32666,126.79343333300741,126.79343333300741,126.79343333300741
TSLA,2020-11-05,146.03,129.7383614076233,129.7383614076233,129.7383614076233
TSLA,2020-11-06,143.31667,132.7986913600246,132.7986913600246,132.7986913600246
TSLA,2020-11-09,140.42,134.67877600466355,134.67877600466355,134.67877600466355
TSLA,2020-11-10,136.78667,134.9819266934666,134.9819266934666,134.9819266934666
TSLA,2020-11-11,139.04333,132.87132329506878,132.87132329506878,132.87132329506878
TSLA,2020-11-12,137.25333,130.78513932644537,130.78513932644537,130.78513932644537
TSLA,2020-11-13,136.16667,127.35554174301485,127.35554174301485,127.35554174301485
TSLA,2020-11-16,136.03,126.61650249359008,126.61650249359008,126.61650249359008
TSLA,2020-11-17,147.20334,127.04737307647784,127.04737307647784,127.04737307647784
TSLA,2020-11-18,162.21333,128.6910568602812,128.6910568602812,128.6910568602812
TSLA,2020-11-19,166.42334,131.57331953814733,131.57331953814733,131.57331953814733
TSLA,2020-11-20,163.20334,133.80005196547597,133.80005196547597,133.80005196547597
TSLA,2020-11-23,173.95,134.73757324534452,134.73757324534452,134.73757324534452
TSLA,2020-11-24,185.12666,133.69962461514308,133.69962461514308,133.69962461514308
TSLA,2020-11-25,191.33333,131.4411216432318,131.4411216432318,131.4411216432318
TSLA,2020-11-27,195.25333,128.93322578592307,128.93322578592307,128.93322578592307
TSLA,2020-11-30,189.2,126.98480629075826,126.98480629075826,126.98480629075826
TSLA,2020-12-01,194.92,126.80689655596682,126.80689655596682,126.80689655596682
TSLA,2020-12-02,189.60667,128.18894243278916,128.18894243278916,128.18894243278916
TSLA,2020-12-03,197.79333,130.57992560972139,130.57992560972139,130.57992560972139
TSLA,2020-12-04,199.68,132.69789315368268,132.69789315368268,132.69789315368268
