ticker,date,actual,t1,t3,t5
AMZN,2020-11-02,150.224,159.08563,,
AMZN,2020-11-03,152.4205,158.37807,,
AMZN,2020-11-04,162.058,157.98627,160.13045,
AMZN,2020-11-05,166.1,157.56409,159.63538,
AMZN,2020-11-06,165.5685,157.47408,159.15886,152.459
AMZN,2020-11-09,157.187,157.41052,158.77411,152.50821
AMZN,2020-11-10,151.751,156.94489,158.619,152.47488
AMZN,2020-11-11,156.8695,156.24933,158.78969,152.42778
AMZN,2020-11-12,155.514,156.11563,158.88478,152.76595
AMZN,2020-11-13,156.4405,155.69356,158.76294,152.86272
AMZN,2020-11-16,156.553,155.65948,158.68617,153.10873
AMZN,2020-11-17,156.783,155.6271,158.74928,153.58716
AMZN,2020-11-18,155.273,155.6122,158.85661,153.79385
AMZN,2020-11-19,155.851,155.70305,158.99802,154.0277
AMZN,2020-11-20,154.97,155.98819,159.22308,154.03784
AMZN,2020-11-23,154.9195,156.07701,159.52411,153.88818
AMZN,2020-11-24,155.903,156.423,159.80554,153.75171
AMZN,2020-11-25,159.2535,156.6154,159.97858,153.50325
AMZN,2020-11-27,159.767,157.11925,159.98991,152.9622
AMZN,2020-11-30,158.402,157.73596,159.84009,152.27754
AMZN,2020-12-01,161.004,158.71147,159.57939,151.44447
AMZN,2020-12-02,160.1765,159.63708,159.65173,150.25859
AMZN,2020-12-03,159.3365,160.29063,159.70456,149.4374
AMZN,2020-12-04,158.129,160.82161,159.79616,148.66231
AMZN,2020-12-07,157.9,161.3372,160.0173,147.95619
AMZN,2020-12-08,158.8645,161.72313,160.38759,147.78444
AMZN,2020-12-09,155.21,162.4707,160.76384,147.54395
AMZN,2020-12-10,155.0745,162.75035,161.01341,147.45825
AMZN,2020-12-11,155.821,162.78822,161.2493,147.22948
AMZN,2020-12-14,157.8485,162.89127,161.45084,147.11996
AMZN,2020-12-15,158.256,162.89436,161.48668,147.02675
AMZN,2020-12-16,162.048,163.00847,161.48842,146.78471
AMZN,2020-12-17,161.804,163.21478,161.45648,146.50996
AMZN,2020-12-18,160.0825,163.40808,161.4612,146.30003
AMZN,2020-12-21,160.309,163.46622,161.48175,146.14586
AMZN,2020-12-22,160.326,163.44908,161.61298,146.20256
AMZN,2020-12-23,159.2635,163.49683,161.819,146.20436
AMZN,2020-12-24,158.6345,163.32053,161.90761,146.69183
AMZN,2020-12-28,164.198,163.23529,162.07008,147.20724
AMZN,2020-12-29,166.1,163.24214,162.23964,147.70508
AMZN,2020-12-30,164.2925,163.37541,162.40637,147.93025
AMZN,2020-12-31,162.8465,163.52058,162.29277,147.97295
